SNo_x,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year,SNo_y,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28
36.0,JALAUN,17362,180015,13395,326079,5539,196029,8523,382364,5727,318162,7086,471381,4303,327767,18600,1701697,1405,140500,0,0,0,0,0,0,0,0,0,0,81940,4043994,2020,10,,-1.45,0.0,0.0,0.0,10242.67,0.0,0.0,0,0.0,0.0,10241.21,0.0,7434.18,232.95,1942.21,196.02,397.51,5.13,402.64,10208.0,99.68,33.21,3.27,2.26,0.11,0.0,5.64
37.0,JAUNPUR,19952,217356,24909,585866,8904,318757,12796,573349,11643,657753,7330,484905,8945,670702,29116,2656030,3710,371000,0,0,0,0,0,0,0,0,0,0,127305,6535718,2020,11,,69.84,0.0,0.0,0.0,19008.47,0.0,0.0,0,0.0,0.0,19078.3,0.0,11965.58,202.72,5496.89,503.89,789.49,27.12,816.61,18985.7,99.51,92.61,37.09,2.71,17.54,1.64,58.98
38.0,JHANSI,7771,78673,8246,192642,3983,143022,4120,189513,3734,210238,3345,221432,3812,287454,17460,1621690,5836,583600,0,0,0,0,0,0,0,0,0,0,58307,3528264,2020,32,,89.3,0.0,0.0,0.0,9840.18,0.0,0.0,0,0.0,0.0,9929.48,0.0,6632.77,213.1,2468.56,104.0,402.44,3.83,406.28,9824.7,98.94,104.78,6.91,3.11,2.02,0.05,12.09
39.0,KANNAUJ,12234,111565,10180,229763,3833,135338,3876,173690,3336,185765,2616,173047,2117,160158,6344,570737,370,37000,0,0,0,0,0,0,0,0,0,0,44906,1777063,2020,58,,19.77,0.0,0.0,0.0,3886.09,0.0,0.0,0,0.0,0.0,3905.86,0.0,3297.86,58.68,287.55,22.56,189.96,2.24,192.2,3858.85,98.8,47.01,3.71,1.78,0.0,0.0,5.49
40.0,KANPUR DEHAT,10088,90127,9063,207439,4476,157904,4246,191633,3178,176901,3127,205346,2578,194928,7793,714139,1030,103000,0,0,0,0,0,0,0,0,0,0,45579,2041417,2020,33,,14.23,0.0,0.0,0.0,4722.32,0.0,0.0,0,0.0,0.0,4736.54,0.0,3749.73,102.04,567.69,53.5,224.9,10.07,234.97,4707.93,99.4,28.62,1.75,0.94,3.74,0.16,6.59
41.0,KANPUR NAGAR,7921,68420,5791,132015,2762,97464,2449,110592,1837,101778,1727,113157,1478,111955,5458,497020,403,40300,0,0,0,0,0,0,0,0,0,0,29826,1272701,2020,59,,4.28,0.0,0.0,0.0,2876.39,0.0,0.0,0,0.0,0.0,2880.67,0.0,2340.84,80.85,285.66,18.62,141.91,0.24,142.15,2868.13,99.56,12.54,0.24,0.6,1.69,0.14,2.67
42.0,KASHGANJ,8829,75661,7792,175209,3643,128764,3381,152948,2813,155537,2412,157980,2229,168458,6177,566640,2159,215900,0,0,0,0,0,0,0,0,0,0,39435,1797097,2020,60,,68.21,0.0,0.0,0.0,5068.76,0.0,0.0,0,0.0,0.0,5136.96,0.0,3292.15,110.91,1410.95,10.49,219.12,0.5,219.62,5044.12,98.19,92.84,0.06,1.87,0.0,0.0,1.93
43.0,KAUSHAMBI,8958,85211,7944,184351,3369,119177,3608,163739,3165,178803,2366,155263,2798,210244,7773,704980,779,77900,0,0,0,0,0,0,0,0,0,0,40760,1879668,2020,12,,20.84,0.0,0.0,0.0,4802.3,0.0,0.0,0,0.0,0.0,4823.14,0.0,3455.57,64.39,1040.32,25.96,212.51,2.18,214.69,4800.93,99.54,22.21,11.0,2.19,0.0,0.0,13.19
44.0,KHERI,34923,320036,28669,666953,12304,436443,13169,592561,11176,620409,9827,648043,7106,538628,23477,2136479,2743,274300,0,0,0,0,0,0,0,0,0,0,143394,6233852,2020,13,,-10.68,0.0,0.0,0.0,14239.78,1.84,0.0,5.5,0.0,0.0,14225.44,0.0,11501.21,221.11,1717.78,142.59,637.72,4.95,642.67,14225.36,100.0,0.09,3.33,1.84,0.63,0.09,5.89
45.0,KUSHI NAGAR,19926,212106,24820,589474,11640,413233,13936,627475,9872,547977,10644,698862,6486,491058,20033,1818602,1962,196200,0,0,0,0,0,0,0,0,0,0,119319,5594987,2020,14,,154.77,0.0,0.0,0.0,13815.91,0.0,0.0,0,0.0,0.0,13970.67,0.0,10488.53,368.38,2239.54,6.13,671.8,7.47,679.26,13781.83,98.65,188.84,5.31,5.75,0.85,0.0,11.91
46.0,LALITPUR,12976,128513,13463,313587,6004,213448,6605,301527,5256,296628,3844,254269,4383,327823,16245,1503299,7348,734800,0,0,0,0,0,0,0,0,0,0,76124,4073894,2020,15,,-1.28,0.0,0.0,0.0,10725.53,0.0,0.0,0,0.0,0.0,10724.25,0.0,7555.22,274.09,2359.98,231.38,297.32,0.19,297.51,10718.19,99.94,6.06,7.05,2.18,0.11,0.02,9.36
47.0,LUCKNOW,8704,72780,6975,156512,3003,106297,2824,128119,2201,122263,1918,125416,1796,135440,6400,586810,1272,127200,0,0,0,0,0,0,0,0,0,0,35093,1560837,2020,61,,0.19,0.0,0.0,0.0,3890.88,0.0,0.0,0,0.0,0.0,3891.07,0.0,2882.93,115.96,655.23,24.36,197.54,0.0,197.54,3876.01,99.61,15.06,1.2,1.13,0.76,0.0,3.09
48.0,MAHARAJGANJ,27485,266435,31936,721842,15456,542593,13946,631283,11890,662706,11511,753704,9306,703124,23386,2128791,3567,356700,0,0,0,0,0,0,0,0,0,0,148483,6767178,2020,34,,77.69,0.0,0.0,0.0,15972.94,0.0,0.0,0,0.0,0.0,16050.63,0.0,12610.97,234.73,2479.96,1.86,623.19,5.74,628.93,15956.45,99.41,94.18,20.05,4.3,12.06,0.06,36.47
49.0,MAHOBA,5267,51126,4235,100600,1825,64464,2145,96047,1767,98456,1816,120032,1105,83755,4418,406050,2122,212200,0,0,0,0,0,0,0,0,0,0,24700,1232730,2020,16,,4.3,0.0,0.0,0.0,2891.09,0.0,0.0,0,0.0,0.0,2895.39,0.0,2254.16,99.08,349.26,36.6,140.37,4.0,144.37,2883.46,99.59,11.92,5.93,2.33,0.0,0.0,8.26
50.0,MAINPURI,12064,115993,10338,240250,4499,160601,4398,197924,3954,220209,3582,235336,2979,225398,10244,934108,1088,108800,0,0,0,0,0,0,0,0,0,0,53146,2438619,2020,62,,25.05,0.0,0.0,0.0,5235.5,0.0,0.0,0,0.0,0.0,5260.56,0.0,4491.47,112.55,326.52,37.66,247.8,3.01,250.81,5219.0,99.21,41.55,9.21,1.05,2.01,0.0,12.27
51.0,MATHURA,9043,85638,7071,167054,2849,101811,3005,134195,2329,129169,2109,139112,1655,125445,5791,532878,638,63800,0,0,0,0,0,0,0,0,0,0,34490,1479102,2020,63,,3.01,0.0,0.0,0.0,4055.79,0.0,0.0,0,0.0,0.0,4058.81,0.0,2703.83,37.26,976.13,115.69,186.38,0.08,186.46,4019.37,99.03,39.44,7.03,0.38,5.32,0.18,12.91
52.0,MAU,17872,208406,17604,439295,6008,213149,10033,439512,8790,486574,8118,542157,4360,331538,17471,1595879,1842,184200,0,0,0,0,0,0,0,0,0,0,92098,4440710,2020,35,,3.75,0.0,0.0,0.0,12064.7,0.0,0.0,0,0.0,0.0,12068.45,0.0,8271.94,160.23,2899.42,262.45,449.2,13.3,462.5,12056.54,99.9,11.91,1.42,11.25,20.4,2.27,35.34
53.0,MEERUT,2894,29916,2257,53515,742,26247,868,38298,717,39618,651,43988,278,21111,2774,260452,381,38100,0,0,0,0,0,0,0,0,0,0,11562,551245,2020,64,,1.83,0.0,0.0,0.0,1128.25,0.0,0.0,0,0.0,0.0,1130.08,0.0,1018.93,11.35,50.8,3.47,38.94,0.03,38.97,1123.52,99.42,6.56,2.72,0.16,0.5,0.02,3.4
54.0,MIRZAPUR,14872,147303,13933,327543,5490,194620,6540,292075,5389,299930,5156,340755,3876,294239,16441,1507293,1049,104900,0,0,0,0,0,0,0,0,0,0,72746,3508658,2020,17,,40.11,0.0,0.0,0.0,8911.61,0.0,0.0,0,0.0,0.0,8951.72,0.0,6475.97,231.17,1690.5,103.46,418.62,1.29,419.91,8921.01,99.66,30.71,2.52,1.95,0.0,0.0,4.47
55.0,MORADABAD,13310,126149,12338,284055,4787,169366,4905,221078,3781,210350,3374,221507,2390,180906,6878,625068,897,89700,0,0,0,0,0,0,0,0,0,0,52660,2128179,2020,65,,62.4,0.0,0.0,0.0,5638.57,0.0,0.0,0,0.0,0.0,5700.97,0.0,3929.97,121.69,809.6,87.64,313.68,0.0,313.68,5262.57,92.31,438.39,1.89,7.66,0.76,0.07,10.38
56.0,MUZAFFARNAGAR,3493,29564,3176,72647,1662,58630,1539,69537,1050,58268,979,64444,820,61855,2344,214663,439,43900,0,0,0,0,0,0,0,0,0,0,15502,673508,2020,66,,0.8,0.0,0.0,0.0,1468.29,0.0,0.0,0,0.0,0.0,1469.09,0.0,1246.82,43.56,117.38,8.43,46.57,2.21,48.78,1464.97,99.72,4.12,0.62,1.02,0.04,0.0,1.68
57.0,PILIBHIT,25263,205704,22459,491842,7866,277850,6569,296900,5448,303964,4377,286600,3936,297568,9722,882660,1172,117200,0,0,0,0,0,0,0,0,0,0,86812,3160288,2020,67,,110.02,0.0,0.0,0.0,8637.26,0.0,0.0,0,0.0,0.0,8747.28,0.0,5889.85,269.38,1892.88,115.9,459.96,0.0,459.96,8627.96,98.64,119.32,0.96,2.58,0.58,0.03,4.15
58.0,PRATAPGARH,22946,277308,29185,715120,5149,184956,13312,577921,12285,690632,7390,496942,5818,435526,19258,1732057,3208,320800,0,0,0,0,0,0,0,0,0,0,118551,5431262,2020,18,,-50.56,0.0,0.0,0.0,12781.87,0.0,0.0,0,0.0,0.0,12731.3,0.0,10044.14,162.4,1768.92,110.06,674.06,4.72,678.77,12764.3,100.26,-32.99,7.98,0.27,651.95,8.03,668.23
59.0,PRAYAGRAJ,21705,208141,20693,477775,7987,284079,8648,388864,7318,408020,6536,428465,5544,418463,17131,1555839,1921,192100,0,0,0,0,0,0,0,0,0,0,97483,4361746,2020,68,,-8.67,0.0,0.0,0.0,11748.0,0.0,0.0,0,0.0,0.0,11739.33,0.0,7997.63,231.88,2622.87,276.37,602.81,1.7,604.51,11733.27,99.95,6.06,2.06,2.0,17.86,1.64,23.56
